career,interest,skill
Data Scientist,"Science, Logic","Mathematics, Coding, Python"
Software Engineer,"Technology, Building","Coding, Problem Solving"
AI Researcher,"AI, Research","Machine Learning, Mathematics"
Cybersecurity Analyst,"Security, Technology","Networking, Scripting"
Web Developer,"Design, Technology","HTML, CSS, JavaScript"
Cloud Architect,"Infrastructure, Tech","AWS, Azure, Networking"
Game Developer,"Gaming, Creativity","C++, Unity, Design"
UX/UI Designer,"Art, Psychology","Design Tools, Empathy"
Blockchain Developer,"Crypto, Finance","Solidity, Cryptography"
Robotics Engineer,"Machines, Hardware","C++, Mechanics, Electronics"
DevOps Engineer,"Infrastructure, Automation","CI/CD, Docker, Kubernetes"
Full Stack Developer,"Web, Logic","Frontend, Backend, Database"
Mobile App Developer,"Apps, Coding","Flutter, React Native, Swift"
QA Engineer,"Testing, Quality","Automation, Detail-oriented"
Database Administrator,"Data, Organization","SQL, Database Design"
System Administrator,"IT, Maintenance","Linux, Networking"
Network Engineer,"Connectivity, Tech","Cisco, Routing, Switching"
Site Reliability Engineer,"Uptime, Reliability","Monitoring, Scripting"
Embedded Systems Engineer,"Hardware, Coding","C, Microcontrollers"
VR/AR Developer,"Immersive Tech, Design","Unity, 3D Modeling"
Doctor (Physician),"Helping People, Health","Biology, Empathy"
Nurse,"Care, Health","Patient Care, Biology"
Agricultural Scientist,"Nature, Farming","Biology, Chemistry"
Biomedical Engineer,"Health, Engineering","Biology, Mechanics"
Environmental Scientist,"Nature, Climate","Research, Ecology"
Pharmacist,"Chemistry, Health","Chemistry, Attention to Detail"
Psychologist,"Mind, People","Listening, Analysis"
Veterinarian,"Animals, Medicine","Animal Care, Biology"
Astronomer,"Space, Physics","Math, Physics, Research"
Surgeon,"Health, Precision","Dexterity, Anatomy"
Dentist,"Teeth, Health","Dexterity, Patient Care"
Physical Therapist,"Rehab, Health","Anatomy, Exercise"
Occupational Therapist,"Rehab, Daily Living","Patience, Problem Solving"
Speech Pathologist,"Communication, Health","Linguistics, Patience"
Radiologist,"Imaging, Diagnosis","Technology, Anatomy"
Cardiologist,"Heart, Health","Specialized Medicine"
Neurologist,"Brain, Health","Neuroscience, Diagnosis"
Dermatologist,"Skin, Health","Diagnosis, Procedures"
Pediatrician,"Children, Health","Patience, Child Care"
